娛樂稅稅源,申報家(件)數,查定家(件)數,申報營業總額,查定營業總額,本月份申報報繳稅額,本月份查定報繳稅額,申報報繳稅額累計數,查定報繳稅額累計數,本月份申報實徵稅額,本月份查定實徵稅額,申報實徵稅額累計數,查定實徵稅額累計數,,,,,
合　　計,457,,"46,702,458",,"1,739,151",,"17,317,165",,"1,615,980",,"17,245,768",,,,,,
自動申報-總計,35,,"29,135,403",,"839,269",,"8,081,079",,"796,898",,"8,036,064",,,,,,
查定課徵-總計,418,,"17,170,605",,"897,912",,"9,095,556",,"817,147",,"9,067,581",,,,,,
臨時公演-總計,4,,"396,450",,"1,970",,"140,530",,"1,935 ",,"142,123",,,,,,
違章補徵稅款-總計,,,,,,,,,,,,,,,,,
電影0-小　　　計, 2 , - ," 2,451,841 ", - ," 10,176 ", - ," 183,707 ", - ," 10,142 ", - ," 183,673 ", - ,,,,,
電影0-本國片繁榮地區A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片偏僻地區B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-本國片郊區C, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片繁榮地區D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片偏僻地區E, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-外國片郊區F, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電影0-國洋片混片G, 2 , - ," 2,451,841 ", - ," 10,176 ", - ," 183,707 ", - ," 10,142 ", - ," 183,673 ", - ,,,,,
電影0-其他H, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 歌廳1, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 撞球場2　, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
 保齡球館3, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
高爾夫球場4-小　計, 1 , - ," 3,845,590 ", - ," 174,800 ", - ," 1,828,012 ", - ," 174,800 ", - ," 1,828,012 ", - ,,,,,
高爾夫球場4-球　場A, 1 , - ," 3,845,590 ", - ," 174,800 ", - ," 1,828,012 ", - ," 174,800 ", - ," 1,828,012 ", - ,,,,,
高爾夫球場4-練習場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-小　計, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　廳A, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
舞?舞場    5-舞　場B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-小　　　計, - , 28 , - ," 1,881,080 ", - ," 124,649 ", - ," 1,231,350 ", - ," 128,299 ", - ," 1,233,462 ",,,,,
電子遊戲機6-電動玩具、小鋼珠A, - , 13 , - ," 1,699,580 ", - ," 115,649 ", - ," 1,141,350 ", - ," 119,749 ", - ," 1,144,870 ",,,,,
電子遊戲機6-娃娃機B, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
電子遊戲機6-其　他C, - , 15 , - ," 181,500 ", - ," 9,000 ", - ," 90,000 ", - ," 8,550 ", - ," 88,592 ",,,,,
 有節目餐飲業7, - , 1 , - ," 13,125 ", - , 625 , - ," 8,925 ", - , 625 , - ," 27,543 ",,,,,
視聽視唱業8-小　　　計, 5 , 106 ," 3,196,198 "," 4,267,000 "," 159,631 "," 223,363 "," 1,540,881 "," 2,215,031 "," 159,631 "," 161,620 "," 1,540,881 "," 2,150,623 ",,,,,
視聽視唱業8-KTV(卡拉ok)投幣式A, - , 56 , - ," 1,090,100 ", - ," 59,043 ", - ," 534,335 ", - ," 48,043 ", - ," 577,775 ",,,,,
視聽視唱業8-KTV(卡拉ok)非投幣式B, 5 , 50 ," 3,196,198 "," 3,176,900 "," 159,631 "," 164,320 "," 1,540,881 "," 1,680,696 "," 159,631 "," 113,275 "," 1,540,881 "," 1,572,546 ",,,,,
視聽視唱業8-MTV C, - , - , - , - , - , - , - , - , - , 302 , - , 302 ,,,,,
視聽視唱業8-其　他D, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,
其他9-小計, 27 , 283 ," 19,641,774 "," 11,009,400 "," 494,662 "," 549,275 "," 4,528,479 "," 5,640,250 "," 452,325 "," 526,603 "," 4,483,498 "," 5,655,953 ",,,,,
其他9-資訊休閒業A, - , 5 , - ," 1,224,600 ", - ," 61,230 ", - ," 626,900 ", - ," 56,630 ", - ," 629,262 ",,,,,
其他9-電動搖搖馬B, - , 27 , - ," 155,250 ", - ," 9,000 ", - ," 84,595 ", - ," 9,600 ", - ," 86,670 ",,,,,
其他9-具娛樂性之選物販賣機C, 1 , 170 ," 46,547 "," 8,234,450 "," 2,116 "," 417,665 "," 30,857 "," 4,362,805 "," 2,116 "," 387,243 "," 30,857 "," 4,405,840 ",,,,,
其他9-機動遊藝樂園D, 1 , - ," 11,655,780 ", - ," 125,265 ", - ," 1,527,913 ", - ," 125,265 ", - ," 1,527,913 ", - ,,,,,
其他9-機動遊艇、動力飛行器E, - , 17 , - ," 224,000 ", - ," 7,400 ", - ," 74,000 ", - ," 7,400 ", - ," 73,700 ",,,,,
其他9-實境體感娛樂設施F, 1 , - ," 277,570 ", - ," 13,879 ", - ," 139,759 ", - ," 13,741 ", - ," 139,621 ", - ,,,,,
其他9-其他G, 24 , 64 ," 7,661,877 "," 1,171,100 "," 353,402 "," 53,980 "," 2,829,950 "," 491,950 "," 311,203 "," 65,730 "," 2,785,107 "," 460,481 ",,,,,
臨時公演-小　　　計, 4 ,," 396,450 ", - ," 1,970 ", - ," 140,530 ", - ," 1,935 ", - ," 142,123 ",,,,,,
臨時公演-職業性歌唱、舞蹈、馬戲、魔術、技藝表演及夜總會之各種表演A, - , - , - , - , - , - ," 135,772 ", - , - , - ," 135,772 ",,,,,,
臨時公演-說書、戲劇、音樂演奏及非職業性歌唱、舞蹈等表演B, 4 , - ," 396,450 ", - ," 1,970 ", - ," 4,758 ", - ," 1,935 ", - ," 6,351 ",,,,,,
臨時公演-各種競技比賽C, - , - , - , - , - , - , - , - , - , - , - ,,,,,,
臨時公演-其他D, - , - , - , - , - , - , - , - , - , - , - ,,,,,,
違章補徵稅款1, - , - , - , - , - , - , - , - , - , - , - ,,,,,,
